2026-08-11 09:57:10,424 | INFO | Fetched 4 NSE stocks
2026-08-11 09:57:25,259 | INFO | Fetched 4 NSE stocks
2026-08-11 09:57:42,249 | INFO | Fetched 4 NSE stocks
2026-08-11 09:57:56,461 | INFO | Fetched 4 NSE stocks
2026-08-11 09:58:20,147 | INFO | Fetched 4 NSE stocks
2026-08-11 09:58:42,768 | INFO | Fetched 4 NSE stocks
2026-08-11 09:58:56,422 | INFO | Fetched 4 NSE stocks
2026-08-11 09:59:12,468 | INFO | Fetched 4 NSE stocks
2026-08-11 09:59:32,952 | INFO | Fetched 4 NSE stocks
2026-08-11 09:59:52,457 | INFO | Fetched 4 NSE stocks
2026-08-11 10:00:06,872 | INFO | Fetched 4 NSE stocks
2026-08-11 10:00:22,319 | INFO | Fetched 4 NSE stocks
2026-08-11 10:00:37,610 | INFO | Fetched 4 NSE stocks
2026-08-11 10:00:51,229 | INFO | Fetched 4 NSE stocks
2026-08-11 10:01:08,886 | INFO | Fetched 4 NSE stocks
2026-08-11 10:01:24,022 | INFO | Fetched 4 NSE stocks
2026-08-11 10:01:40,440 | INFO | Fetched 4 NSE stocks
2026-08-11 10:01:54,598 | INFO | Fetched 4 NSE stocks
2026-08-11 10:02:10,368 | INFO | Fetched 4 NSE stocks
2026-08-11 10:02:29,051 | INFO | Fetched 4 NSE stocks
2026-08-11 10:02:43,175 | INFO | Fetched 4 NSE stocks
2026-08-11 10:03:05,294 | INFO | Fetched 4 NSE stocks
2026-08-11 10:03:21,356 | INFO | Fetched 4 NSE stocks
2026-08-11 10:03:36,530 | INFO | Fetched 4 NSE stocks
2026-08-11 10:04:00,465 | INFO | Fetched 4 NSE stocks
2026-08-11 10:04:16,510 | INFO | Fetched 4 NSE stocks
2026-08-11 10:04:29,649 | INFO | Fetched 4 NSE stocks
2026-08-11 10:04:50,801 | INFO | Fetched 4 NSE stocks
2026-08-11 10:05:12,554 | INFO | Fetched 4 NSE stocks
2026-08-11 10:05:27,884 | INFO | Fetched 4 NSE stocks
2026-08-11 10:05:41,897 | INFO | Fetched 4 NSE stocks
2026-08-11 10:06:12,688 | INFO | Fetched 4 NSE stocks
2026-08-11 10:06:46,569 | INFO | Fetched 4 NSE stocks
2026-08-11 10:07:01,704 | INFO | Fetched 4 NSE stocks
2026-08-11 10:07:18,250 | INFO | Fetched 4 NSE stocks
2026-08-11 10:07:32,650 | INFO | Fetched 4 NSE stocks
2026-08-11 10:07:50,767 | INFO | Fetched 4 NSE stocks
2026-08-11 10:08:10,245 | INFO | Fetched 4 NSE stocks
2026-08-11 10:08:25,234 | INFO | Fetched 4 NSE stocks
2026-08-11 10:08:42,468 | INFO | Fetched 4 NSE stocks
2026-08-11 10:08:58,636 | INFO | Fetched 4 NSE stocks
2026-08-11 10:09:24,221 | INFO | Fetched 4 NSE stocks
2026-08-11 10:09:39,271 | INFO | Fetched 4 NSE stocks
2026-08-11 10:09:57,191 | INFO | Fetched 4 NSE stocks
2026-08-11 10:10:13,008 | INFO | Fetched 4 NSE stocks
2026-08-11 10:10:31,110 | INFO | Fetched 4 NSE stocks
2026-08-11 10:10:45,639 | INFO | Fetched 4 NSE stocks
2026-08-11 10:11:06,347 | INFO | Fetched 4 NSE stocks
2026-08-11 10:11:20,432 | INFO | Fetched 4 NSE stocks
2026-08-11 10:11:33,069 | INFO | Fetched 4 NSE stocks
2026-08-11 10:11:51,785 | INFO | Fetched 4 NSE stocks
2026-08-11 10:12:07,634 | INFO | Fetched 4 NSE stocks
2026-08-11 10:12:23,699 | INFO | Fetched 4 NSE stocks
2026-08-11 10:12:38,020 | INFO | Fetched 4 NSE stocks
2026-08-11 10:12:53,978 | INFO | Fetched 4 NSE stocks
2026-08-11 10:13:10,562 | INFO | Fetched 4 NSE stocks
2026-08-11 10:13:31,639 | INFO | Fetched 4 NSE stocks
2026-08-11 10:13:47,203 | INFO | Fetched 4 NSE stocks
2026-08-11 10:14:00,986 | INFO | Fetched 4 NSE stocks
2026-08-11 10:14:20,188 | INFO | Fetched 4 NSE stocks
2026-08-11 10:14:34,424 | INFO | Fetched 4 NSE stocks
2026-08-11 10:14:48,877 | INFO | Fetched 4 NSE stocks
2026-08-11 10:15:03,086 | INFO | Fetched 4 NSE stocks
2026-08-11 10:15:17,503 | INFO | Fetched 4 NSE stocks
2026-08-11 10:15:32,982 | INFO | Fetched 4 NSE stocks
2026-08-11 10:15:48,731 | INFO | Fetched 4 NSE stocks
2026-08-11 10:22:56,036 | INFO | Fetched 4 NSE stocks
2026-08-11 10:23:17,179 | INFO | Fetched 4 NSE stocks
2026-08-11 10:23:34,167 | INFO | Fetched 4 NSE stocks
2026-08-11 10:23:49,496 | INFO | Fetched 4 NSE stocks
2026-08-11 10:24:05,300 | INFO | Fetched 4 NSE stocks
2026-08-11 10:24:20,199 | INFO | Fetched 4 NSE stocks
2026-08-11 10:25:10,948 | INFO | Login successful
2026-08-11 10:25:12,603 | INFO | ML model trained successfully
2026-08-11 10:25:19,353 | INFO | Fetched 4 NSE stocks
2026-08-11 10:25:34,345 | INFO | Fetched 4 NSE stocks
2026-08-11 10:25:48,601 | INFO | Fetched 4 NSE stocks
2026-08-11 10:26:02,000 | INFO | Fetched 4 NSE stocks
2026-08-11 10:26:16,901 | INFO | Fetched 4 NSE stocks
2026-08-11 10:26:30,153 | INFO | Fetched 4 NSE stocks
2026-08-11 10:26:49,106 | INFO | Fetched 4 NSE stocks
2026-08-11 10:27:10,503 | INFO | Fetched 4 NSE stocks
2026-08-11 10:28:58,230 | INFO | Fetched 4 NSE stocks
2026-08-11 10:29:13,813 | INFO | Fetched 4 NSE stocks
2026-08-11 10:32:18,130 | INFO | Login successful
2026-08-11 10:32:20,035 | INFO | ML model trained successfully
2026-08-11 10:32:28,322 | INFO | Fetched 2485 NSE stocks
2026-08-11 10:32:30,330 | ERROR | Error getting depth for SHAREINDIA-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:32:31,576 | ERROR | Error getting depth for MUTHOOTCAP-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:32:32,246 | ERROR | Error getting depth for NAVKARCORP-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:32:32,883 | ERROR | Error getting depth for MOM30IETF-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:32:33,510 | ERROR | Error getting depth for UNIONBANK-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:32:34,158 | ERROR | Error getting depth for MOQUALITY-EQ: 'SmartConnect' object has no attribute 'marketData'
